c:\data\music\311\311\04 All Mixed Up.m4a|1995
c:\data\music\311\311\11 Don't Stay Home.m4a|1995
c:\data\music\Aimee Mann\Bachelor No. 2\01 How Am I Different.m4a|2000
c:\data\music\Aimee Mann\Bachelor No. 2\03 Red Vines.m4a|2000
c:\data\music\Aimee Mann\Bachelor No. 2\07 Ghost World.m4a|2000
c:\data\music\Aimee Mann\I'm With Stupid\10 That's Just What You Are.m4a|1995
c:\data\music\Aimee Mann\Magnolia (Music from the Motion Picture)\09 Save Me 1.m4a|1999
c:\data\music\Aimee Mann\Magnolia (Music from the Motion Picture)\09 Save Me.m4a|1999
c:\data\music\Aimee Mann\Whatever\01 I Should've Known.m4a|1993
c:\data\music\Andrew Bird\Break It Yourself\05 Eyeoneye.m4a|2012
c:\data\music\Andrew Bird\Noble Beast\03 Fitz and the Dizzyspells.m4a|2008
c:\data\music\Andrew Bird\The Mysterious Production of Eggs\04 Fake Palindromes.m4a|2005
c:\data\music\Arctic Monkeys\Favourite Worst Nightmare\03 D Is for Dangerous.m4a|2007
c:\data\music\Arctic Monkeys\Fluorescent Adolescent\01 Fluorescent Adolescent.m4a|2007
c:\data\music\Arctic Monkeys\Whatever People Say I Am, That's What I'\09 Mardy Bum.m4a|2006
c:\data\music\Arctic Monkeys\Whatever People Say I Am, That's What I'\13 A Certain Romance.m4a|2006
c:\data\music\Badfinger\The Very Best Of Badfinger\01 No Matter What.m4a|1970
c:\data\music\Badfinger\The Very Best Of Badfinger\06 Come And Get It.m4a|1969
c:\data\music\Band of Horses\Cease to Begin\03 No One's Gonna Love You.m4a|2007
c:\data\music\Beck\Mellow Gold\01 Loser.m4a|1994
c:\data\music\Beck\Mellow Gold\12 Blackhole.m4a|1994
c:\data\music\Beck\Odelay\07 Jack-Ass.m4a|1996
c:\data\music\Belle and Sebastian\If You_re Feeling Sinister\01 The Stars of Track and Field.m4a|1996
c:\data\music\Belle and Sebastian\If You_re Feeling Sinister\02 Seeing Other People.m4a|1996
c:\data\music\Belle and Sebastian\If You_re Feeling Sinister\03 Me and the Major.m4a|1996
c:\data\music\Belle and Sebastian\If You_re Feeling Sinister\04 Like Dylan In the Movies.m4a|1996
c:\data\music\Belle and Sebastian\If You_re Feeling Sinister\05 The Fox In the Snow.m4a|1996
c:\data\music\Belle and Sebastian\If You_re Feeling Sinister\06 Get Me Away from Here, I_m Dying.m4a|1996
